10068;Coqueteleira Minitin Inox 480ml LGL_LGC480;Un;17,7;Le Galo;0;0;null;10068;0;0
10069;Coqueteleira Minitin Inox 540ml LGL_LGC18;Un;20;Le Galo;0;0;null;10069;0;0
10070;Coqueteleira Boston Inox 840ml LGL_LGC840;Un;22;Le Galo;0;0;null;10070;0;0
10071;Coqueteleira Boston Color Metalica 840ml LGL_LGCC;Un;33;Le Galo;0;0;null;10071;0;0
10072;Dosador Bebidas Duplo Inox 15ml - 30ml LGL_LGDI3;Un;11,5;Le Galo;0;0;null;10072;0;0
10073;Colher Bailarina C/ Garfo na Ponta LGL_LGCBG;Un;14;Le Galo;0;0;null;10073;0;0
10074;Pegador Gelo Inox Vinil 18cm LGL_LGPG6;Un;9,5;Le Galo;0;0;null;10074;0;0
10076;Pa Gelo Plastica Color LGL_LGPP;Un;6;Le Galo;0;0;null;10076;0;0
10077;Coador Coquetel 4 Apoios Inox LGL_LGCI;Un;16,5;Le Galo;0;0;null;10077;0;0
10078;Coador Coquetel Julep Inox LGL_LGCJ;Un;16,5;Le Galo;0;0;null;10078;0;0
10079;Bico Dosador Inox Preto LGL_LGBSP;Un;6,9;Le Galo;0;0;null;10079;0;0
10080;Bico Dosador Plastico Colorido LGL_LGBP;Un;1,5;Le Galo;0;0;null;10080;0;0
10082;Bico Dosador Cromado Preto LGL_LGBCRO;Un;4,9;Le Galo;0;0;null;10082;0;0
10083;Bico Dosador Cromado Longo LGL_LGBCRO2;Un;5,9;Le Galo;0;0;null;10083;0;0
10084;Tapete Borracha Bar Pto 15x30cm LGL_LGTB15;Un;38,5;Le Galo;0;0;null;10084;0;0
10085;Tapete Borracha Bar Pto 30x45cm LGL_LGTB45;Un;59;Le Galo;0;0;null;10085;0;0
10086;Tapete Borracha Bar Pto 8x59cm LGL_LGTB59;Un;38,5;Le Galo;0;0;null;10086;0;0
10087;Porta Comanda 45cm LGL_LGPC18;Un;45;Le Galo;0;0;null;10087;0;0
10088;Garrafa Flair P/ Treino Bco LGL_LGGFB;Un;60,2;Le Galo;0;0;null;10088;0;0
10089;Garrafa Flair P/ Treino Fosforescente LGL_LGFOS;Un;83,7;Le Galo;0;0;null;10089;0;0
10091;Tira Riscos 500ml OXF_TRO1-3940;Un;39,9;Oxford;0;0;null;10091;0;0
10092;Tira Riscos 180ml OXF_TRO2-3940;Un;22,2;Oxford;0;0;null;10092;0;0
10094;Cinzeiro Maracana Fundo 10cm Cx 24 WTN_3335;Un;4;Wheton;0;0;null;10094;0;0
10096;Pa Pizza Ret Alum 41cm C 1,5mt GMT_A-41R;Un;399;Gi Metal;0;0;null;10096;0;0
10097;Rolo Furador Massas Inox GMT_AC-BSM;Un;119;Gi Metal;0;0;null;10097;0;0
10099;Pa Pizza Red Anodizada 33cm C 150cm GMT_A-32;Un;219,5;Gi Metal;0;0;null;10099;0;0
101;Lixeira C/ Pedal 15L 26x46cm Cinza VIE_3582;Un;104,5;Viel;0;0;null;101;0;0
10100;Pa Pizza Red Alum 36cm C 1,5mt GMT_A-37;Un;329;Gi Metal;0;0;null;10100;0;0
10101;Pa Pizza Red Alum 41cm C 1,5mt GMT_A-41;Un;429;Gi Metal;0;0;null;10101;0;0
